b_code,b_name,b_type,b_gudok,b_author,b_publish,b_page,b_price,b_cdate,b_rdate,b_bookcover,b_coversize,b_des
34705576,수레바퀴 아래서 : 오리지널 초판본 표지디자인 [ 최신 원전 완역본 ],novel,Y,헤르만 헤세 저,코너스톤(도서),365,2970 ,2022-12-07,2020-05-25,http://image.yes24.com/goods/34705576/L,0,책설명
32685521,당신 인생의 이야기,novel,Y,테드 창 저/김상훈 역,엘리,365,13050 ,2022-12-07,2020-05-26,http://image.yes24.com/goods/32685521/L,0,책설명
18489338,시를 잊은 그대에게 (리커버 에디션) 공대생의 가슴을 울린 시 강의,novel,Y,정재찬 저,휴머니스트,365,13500 ,2022-12-07,2020-05-27,http://image.yes24.com/goods/18489338/L,0,책설명
14129345,박사가 사랑한 수식 [ 양장 개정판 ],novel,Y,오가와 요코 저/김난주 역,현대문학,365,11700 ,2022-12-07,2020-05-28,http://image.yes24.com/goods/14129345/L,0,책설명
7218436,제노사이드,novel,Y,다카노 가즈아키 저,황금가지,365,15120 ,2022-12-07,2020-05-29,http://image.yes24.com/goods/7218436/L,0,책설명
3799551,올리브 키터리지 [ 양장 ],novel,Y,엘리자베스 스트라우트 저/권상미 역,문학동네,365,13320 ,2022-12-07,2020-05-30,http://image.yes24.com/goods/3799551/L,0,책설명
3523842,세일즈맨의 죽음,novel,Y,아서 밀러 저,민음사,365,8100 ,2022-12-07,2020-05-31,http://image.yes24.com/goods/3523842/L,0,책설명
2983292,파피용 [ 양장 ],novel,Y,베르나르 베르베르 저/뫼비우스 그림/전미연 역,열린책들,365,14220 ,2022-12-07,2020-06-01,http://image.yes24.com/goods/2983292/L,0,책설명
115777579,아르키메데스는 손을 더럽히지 않는다 순수와 당위로 의도 없이 만들어진 미스터리,novel,Y,고미네 하지메 저/민경욱 역,하빌리스,365,12600 ,2022-12-07,2020-06-02,http://image.yes24.com/goods/115777579/L,0,책설명
115001363,인면창 탐정,novel,Y,나카야마 시치리 저/문지원 역,블루홀6,365,13500 ,2022-12-07,2020-06-03,http://image.yes24.com/goods/115001363/L,0,책설명
116000257,니시노 4 ~교내 카스트 최하위이자 이능세계 최강 소년~ [ 초판한정부록 : 책갈피 ],novel,Y,분코로리 원저/마타논키 그림,서울미디어코믹스(서울문화사),365,8550 ,2022-12-07,2020-06-04,http://image.yes24.com/goods/116000257/L,0,책설명
115814760,슬픔,novel,Y,박인천 저,좋은땅,365,10800 ,2022-12-07,2020-06-05,http://image.yes24.com/goods/115814760/L,0,책설명
115777565,러브 레터 좋은 이별을 위해 보내는 편지,novel,Y,이와이 지 저/권남희 역,하빌리스,365,11700 ,2022-12-07,2020-06-06,http://image.yes24.com/goods/115777565/L,0,책설명
115599340,레이디스,novel,Y,퍼트리샤 하이스미스 저/김선형 역,북하우스,365,14400 ,2022-12-07,2020-06-07,http://image.yes24.com/goods/115599340/L,0,책설명
115222352,얼터네이트 (노블판) ALTERNATE [ 초판한정부록 : 표지 일러스트 카드 2종(책과랩핑) ],novel,Y,가토 시게아키 저/김현화 역,소미미디어,365,14220 ,2022-12-07,2020-06-08,http://image.yes24.com/goods/115222352/L,0,책설명
115180962,그림자밟기 여관의 괴담,novel,Y,오시마 기요아키 저/김은모 역,현대문학,365,13950 ,2022-12-07,2020-06-09,http://image.yes24.com/goods/115180962/L,0,책설명
114893798,우신예찬,novel,Y,데시데리우스 에라스무스 저/박문재 역,현대지성,365,10350 ,2022-12-07,2020-06-10,http://image.yes24.com/goods/114893798/L,0,책설명
109585124,나는 나를 파괴할 권리가 있다 [ 개정판 ],novel,Y,김영하 저,복복서가,365,10350 ,2022-12-07,2020-06-11,http://image.yes24.com/goods/109585124/L,0,책설명
108569727,신곡 지옥·연옥·천국 [ 도레 삽화 수록본 양장 ],novel,Y,단테 저/김운찬 역,열린책들,365,32400 ,2022-12-07,2020-06-12,http://image.yes24.com/goods/108569727/L,0,책설명
105910692,조각상 살인사건,novel,Y,다니엘 콜 저/김효정 역,북플라자,365,13950 ,2022-12-07,2020-06-13,http://image.yes24.com/goods/105910692/L,0,책설명
104739081,마음의 심연 [ 양장 ],novel,Y,프랑수아즈 사강 저/김남주 역,민음사,365,11700 ,2022-12-07,2020-06-14,http://image.yes24.com/goods/104739081/L,0,책설명
104647324,해리 포터와 비밀의 방 : 미나리마 에디션 [ 양장 ],novel,Y,J.K. 롤링 저/미나리마 그림/강동혁 역,문학수첩,365,29700 ,2022-12-07,2020-06-15,http://image.yes24.com/goods/104647324/L,0,책설명
102815830,방황하는 칼날 [ 양장 ],novel,Y,히가시노 게이고 저/민경욱 역,하빌리스,365,15300 ,2022-12-07,2020-06-16,http://image.yes24.com/goods/102815830/L,0,책설명
